corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
rbi,390MD10032026A83919BF58A2481BB8240A89F25F285E.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/390MD10032026A83919BF58A2481BB8240A89F25F285E.PDF,2026-06-11T09:13:49.925455,405.6
rbi,268MD4759833478EF4A88898144BF91E4EE1B.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/268MD4759833478EF4A88898144BF91E4EE1B.PDF,2026-06-11T09:13:53.500292,1359.5
rbi,267MD96B7D24557AC47BFB051A5301120FFBB.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/267MD96B7D24557AC47BFB051A5301120FFBB.PDF,2026-06-11T09:14:04.659107,1068.9
rbi,266MDB4BD80DE4B394A50808E81ACC3A2358E.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/266MDB4BD80DE4B394A50808E81ACC3A2358E.PDF,2026-06-11T09:14:07.536807,693.0
rbi,265MD4C8ABA19A5194D39A7AD1071676C3060.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/265MD4C8ABA19A5194D39A7AD1071676C3060.PDF,2026-06-11T09:14:10.545463,870.2
rbi,264MDC9E9F8DD7A7D4A0D8C7661B8589E8605.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/264MDC9E9F8DD7A7D4A0D8C7661B8589E8605.PDF,2026-06-11T09:14:13.182454,469.0
rbi,263MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/263MD.PDF,2026-06-11T09:14:15.787192,344.0
rbi,262MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/262MD.PDF,2026-06-11T09:14:18.295497,372.3
rbi,261MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/261MD.PDF,2026-06-11T09:14:20.992012,453.2
rbi,260MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/260MD.PDF,2026-06-11T09:14:23.623529,449.7
